"TEAM","YEAR","CONF","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","dbpr_Player 1","dbpr_Player 2","dbpr_Player 3","dbpr_Player 4","dbpr_Player 5","dbpr_Player 6","dbpr_Player 7","dbpr_Player 8","obpr_Player 1","obpr_Player 2","obpr_Player 3","obpr_Player 4","obpr_Player 5","obpr_Player 6","obpr_Player 7","obpr_Player 8","elo"
"Abilene Christian",2019,"Slnd",30,27,100.9,100.7,0.5064,51.9,49.8,17.3,23.3,27,28.5,34,38.3,49.5,49.8,37.7,33.3,67.1,-2.6,"R64",15,0.999066976,-0.067431578,0.929120219,-0.13286688,-0.318331104,0.408181302,0.047397974,-1.048198759,1.424298004,2.112203654,1.010641874,1.515712716,0.664314209,-0.54429403,-0.950277418,-0.109271879,1717.94220474365
"Abilene Christian",2021,"Slnd",23,23,101.8,94.7,0.6977,52.9,45.4,19.4,26.7,30.6,27.9,34,42.5,50.8,46.3,37.7,29.1,70,-1.1,"R32",14,0.729295721,1.98024925,1.793649566,2.97111255,0.738916159,1.165514817,0.499768346,0.23277118,1.891132458,0.416629195,0.455380799,-0.750075984,1.12486748,0.610173267,0.266966465,0.363114461,1710.46895470709
"Akron",2013,"MAC",32,25,103.4,94.4,0.7402,51,44.6,20.8,20.2,37.6,30.5,36.9,35,52.1,42.7,32.7,32.8,66.5,0.3,"R64",12,1.071573324,1.376694775,1.732632526,1.573744686,0.984621568,1.301629813,0.69533923,-1.151229331,3.09287381,2.223397073,1.712269896,1.603141347,1.012448327,0.282843676,0.150628795,0.428387143,1715.01631284892
"Akron",2022,"MAC",32,24,105.5,101.7,0.6041,52.5,49.1,17.7,17.5,29,26.4,39.3,26.1,52.2,47.4,35.3,34.8,61.9,-4.3,"R64",13,2.411555825,0.421008053,-0.177541061,1.156984511,-0.800467827,-0.450727959,-0.518391162,1.368144358,2.687873077,1.987839083,1.630579685,0.121316839,0.890614033,0.512654616,-0.147024874,-2.63881323,1637.72563108363
"Akron",2024,"MAC",32,24,105,101.6,0.5953,52,48.6,17.2,16.6,29.5,25.6,33.6,29,54.8,50.7,32,30,65.7,-4.5,NA,14,2.544226339,1.416859436,0.196500302,0.569710505,0.049257225,0.372792572,0.118421942,0.509105381,3.006246201,0.747628692,1.284323527,0.875792282,0.933233375,0.373950428,0.312989579,-0.444687872,1689.1198943588
"Alabama",2018,"SEC",36,20,107.9,95.3,0.8074,51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,53.5,46.9,32.6,32.8,69.9,-1.1,"R32",9,2.283467789,0.595708659,2.752225103,1.643130986,0.609666399,2.908004418,1.623489593,1.124501838,2.513974976,3.455689895,0.721050313,1.685606355,1.126324737,-1.376202572,-0.192949404,-0.005088821,1639.00035494079
"Alabama",2021,"SEC",30,24,111,88.1,0.9343,51.3,45.3,18.6,21.1,31.5,29.8,28.6,31.9,50.1,46.4,35.1,28.8,73.9,6.8,"S16",2,3.611610641,3.654979579,2.393137993,1.865620112,0.953569015,0.787692721,2.073204263,2.548171847,2.440146875,1.060171933,2.270554227,2.270019308,3.130545696,3.052254543,1.702690127,1.078061712,1703.83831985071
"Alabama",2022,"SEC",33,19,115.2,98.3,0.8612,51.3,49.8,19.8,17.9,35.3,30.5,32.9,34.8,55.9,49.3,30.9,33.8,71.8,2,"R64",6,2.567501371,2.094923879,0.581327247,0.512936756,0.573151767,1.887995969,0.396734122,0.523922585,3.234194404,1.527030532,2.928863292,2.813386769,2.673946448,1.071536789,2.405199866,2.030663115,1736.68916373957
"Alabama",2023,"SEC",37,31,116.1,89,0.9548,52.1,41.3,18.7,15.8,34.2,27.9,36.6,32.6,53.8,40.8,33.5,28.3,72.6,10.2,"S16",1,3.495353502,4.424892905,1.823882456,1.95931827,3.195527707,1.398643641,2.117994002,1.563279801,4.115944946,2.695841271,3.446784578,3.065268691,1.56452787,2.791808587,1.754698557,2.253892181,1812.71151752595
"Alabama",2024,"SEC",32,21,125.2,102.1,0.9126,56.3,49.9,16,15.6,34.9,29.9,35.2,39.6,57.6,51.1,36.5,31.9,72.5,3.4,NA,4,1.139674854,0.51762129,1.761806273,0.575087267,0.979091534,2.438714563,1.550073788,0.840479332,5.193619767,5.45388366,3.553340831,4.730481581,4.065433479,2.456914269,2.702824373,2.076735996,1694.87721168876
