"TEAM","YEAR","CONF","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","dbpr_Player.1","dbpr_Player.2","dbpr_Player.3","dbpr_Player.4","dbpr_Player.5","dbpr_Player.6","dbpr_Player.7","dbpr_Player.8","obpr_Player.1","obpr_Player.2","obpr_Player.3","obpr_Player.4","obpr_Player.5","obpr_Player.6","obpr_Player.7","obpr_Player.8","elo"
"	
Seattle U",2013,"WAC",29,7,92.5,97.1,0.3642,47.1,46.7,25.5,19.8,36.7,29.9,28.8,42.7,46.5,45.9,32.2,32.1,70.1,-16.2,NA,NA,0.789184197,1.151534139,-0.343687066,-0.266257899,1.072350795,0.561011546,0.775828068,-1.213218133,-0.445933505,-1.122228089,0.317148232,0.093218831,-1.389433976,-1.217282385,-1.630235405,-0.723084504,NA
"San José State",2013,"WAC",28,8,88.1,102.4,0.1511,41.1,48.7,20.2,19,33.3,31.9,36.7,34.2,40.1,48.1,28.9,33.5,67.2,-14.4,NA,NA,1.435196407,0.683030048,-0.465352473,0.760926035,-0.408888522,-0.737583587,-1.358617069,-1.011521979,0.131109565,-1.750935564,-0.821928248,-2.589876662,-1.590592871,-1.88018288,-1.546286668,-2.28008595,NA
"San José State",2014,"MWC",29,5,92.8,105.6,0.1851,44.7,50,20.3,14.9,28.1,30.5,33,45.9,40.7,48.5,32.8,35.2,66.3,-15.3,NA,NA,0.018512441,0.44535762,0.504391143,1.04491575,0.040255133,-0.18836065,-0.640796024,-1.936403649,-0.188134345,-1.207148113,-1.370817367,-2.36094597,-1.857524893,-1.689850052,-1.619366701,-0.946977428,NA
"San José State",2015,"MWC",28,0,86.2,107.1,0.0757,41,54,21.6,17.8,24.1,31.8,29.1,42.9,38.7,51.8,29.4,38.8,64.6,-21.4,NA,NA,1.596524653,-1.856587451,-0.16963247,-1.190147767,-1.649780796,-0.522342313,-0.990544606,-2.606642355,-4.055397912,-0.871851231,-2.661714239,-1.732920281,-1.395888474,-3.069516067,-3.434797551,-4.861550013,NA
"San José State",2016,"MWC",28,6,96.3,102.4,0.329,46.8,49.6,19.2,17.2,27.1,29.7,38.5,47.5,48.2,47.9,29.8,35.4,70.6,-15.4,NA,NA,2.315532079,0.675637787,0.518544842,0.482290485,-0.01528439,-0.840603759,-0.961562326,-0.595210747,-0.834218026,0.064712239,0.036802604,-1.539406062,-1.393371099,-0.962325559,-1.629383216,-2.1966746,NA
"San José State",2017,"MWC",28,14,99.7,104,0.3794,48.6,51.8,18.2,18.9,24.9,26.1,36.1,40.3,47.7,52,33.7,34.3,72.1,-9,NA,NA,1.089002823,1.502324213,-0.315839885,-1.206507358,0.347261767,-0.779700875,-1.014659034,-0.530251462,1.66121275,-0.431272119,0.201650965,0.63626127,-1.003350611,-0.639690282,-0.974533155,-1.672347094,NA
"San José State",2018,"MWC",29,4,95.5,106.9,0.213,48.6,53.2,23.6,14.9,27.8,24.8,34.2,30.8,46.2,53.3,36.2,35.4,68.3,-18.5,NA,NA,0.256375298,-0.449852241,0.354443837,-1.40126348,-0.69874405,-0.069951928,-0.507187799,-0.864742573,-0.647985373,-0.172782627,-1.401195239,-0.085340776,-1.034781728,-2.19520478,-1.847737939,-2.200648558,NA
"San José State",2019,"MWC",30,4,92.7,112.5,0.0972,46,56.1,21.9,15.4,27.4,28.7,34.8,26.9,44.1,56.3,33,37.3,71,-20.3,NA,NA,0.02792716,-0.730000875,-1.162936592,-1.21885091,-1.598961401,-0.804019515,-2.0614435,-2.703353147,-0.722255873,-1.740413541,-1.421777872,-1.468194412,-1.870232901,-2.8746077,-2.652117079,-2.203183164,NA
"San José State",2021,"MWC",19,5,96.9,110.1,0.1874,44.7,52.6,17.8,14.5,20,35.1,30,27.6,42.9,55.3,31.6,32.2,72.3,-10.3,"N/A",NA,-0.612288754,-1.032894415,-2.104010743,-1.61697791,-0.938648579,-2.488194095,-0.933905153,-1.755423052,-1.336517571,-1.009385948,-0.406613652,-1.199884368,-2.1617259,-0.748872615,-2.586542575,-2.739671475,NA
"San José State",2022,"MWC",30,8,98.4,107.4,0.2676,49.7,53.5,20,15.7,22,30.5,22.5,27,48.2,53.4,34.3,35.8,65.5,-13.6,"N/A","N/A",-0.793671085,1.092027688,-0.339585763,0.242026696,-1.827320334,-0.483103663,-1.805184702,-2.189962421,0.803111952,-1.604294234,-0.217077752,-1.150541158,0.153237251,-1.195853142,-0.553880031,-0.885796919,NA
