"game_id","season","season_type","game_date","game_date_time","team_id","team_uid","team_slug","team_location","team_name","team_abbreviation","team_display_name","team_short_display_name","team_color","team_alternate_color","team_logo","team_home_away","team_score","team_winner","assists","blocks","defensive_rebounds","field_goal_pct","field_goals_made","field_goals_attempted","flagrant_fouls","fouls","free_throw_pct","free_throws_made","free_throws_attempted","largest_lead","offensive_rebounds","steals","team_turnovers","technical_fouls","three_point_field_goal_pct","three_point_field_goals_made","three_point_field_goals_attempted","total_rebounds","total_technical_fouls","total_turnovers","turnovers","opponent_team_id","opponent_team_uid","opponent_team_slug","opponent_team_location","opponent_team_name","opponent_team_abbreviation","opponent_team_display_name","opponent_team_short_display_name","opponent_team_color","opponent_team_alternate_color","opponent_team_logo","opponent_team_score"
330980097,2013,3,2013-04-08,2013-04-08 21:23:00,130,"s:40~l:41~t:130","michigan-wolverines","Michigan","Wolverines","MICH","Michigan Wolverines","Michigan","00274c","ffcb05","https://a.espncdn.com/i/teamlogos/ncaa/500/130.png","away",76,FALSE,12,2,19,52.1,25,48,0,15,72,18,25,"12",8,3,0,0,44.4,8,18,28,0,12,12,97,"s:40~l:41~t:97","louisville-cardinals","Louisville","Cardinals","LOU","Louisville Cardinals","Louisville","c9001f","000000","https://a.espncdn.com/i/teamlogos/ncaa/500/97.png",82
330980097,2013,3,2013-04-08,2013-04-08 21:23:00,97,"s:40~l:41~t:97","louisville-cardinals","Louisville","Cardinals","LOU","Louisville Cardinals","Louisville","c9001f","000000","https://a.espncdn.com/i/teamlogos/ncaa/500/97.png","home",82,TRUE,18,3,17,45.9,28,61,0,22,78.3,18,23,"10",15,9,0,0,50,8,16,33,0,9,9,130,"s:40~l:41~t:130","michigan-wolverines","Michigan","Wolverines","MICH","Michigan Wolverines","Michigan","00274c","ffcb05","https://a.espncdn.com/i/teamlogos/ncaa/500/130.png",76
330960130,2013,3,2013-04-06,2013-04-06 21:21:00,183,"s:40~l:41~t:183","syracuse-orange","Syracuse","Orange","SYR","Syracuse Orange","Syracuse","ff6500","000e54","https://a.espncdn.com/i/teamlogos/ncaa/500/183.png","away",56,FALSE,13,4,23,41.8,23,55,0,19,63.6,7,11,"5",10,7,0,0,21.4,3,14,34,0,10,10,130,"s:40~l:41~t:130","michigan-wolverines","Michigan","Wolverines","MICH","Michigan Wolverines","Michigan","00274c","ffcb05","https://a.espncdn.com/i/teamlogos/ncaa/500/130.png",61
330960130,2013,3,2013-04-06,2013-04-06 21:21:00,130,"s:40~l:41~t:130","michigan-wolverines","Michigan","Wolverines","MICH","Michigan Wolverines","Michigan","00274c","ffcb05","https://a.espncdn.com/i/teamlogos/ncaa/500/130.png","home",61,TRUE,17,3,24,39.6,21,53,0,11,55,11,20,"11",13,5,0,0,33.3,8,24,38,0,10,10,183,"s:40~l:41~t:183","syracuse-orange","Syracuse","Orange","SYR","Syracuse Orange","Syracuse","ff6500","000e54","https://a.espncdn.com/i/teamlogos/ncaa/500/183.png",56
330960097,2013,3,2013-04-06,2013-04-06 18:09:00,2724,"s:40~l:41~t:2724","wichita-state-shockers","Wichita State","Shockers","WICH","Wichita State Shockers","Wichita St","0d0a03","ffc41e","https://a.espncdn.com/i/teamlogos/ncaa/500/2724.png","away",68,FALSE,13,1,22,40.7,22,54,0,20,75,18,24,"12",14,5,1,0,30,6,20,37,0,11,11,97,"s:40~l:41~t:97","louisville-cardinals","Louisville","Cardinals","LOU","Louisville Cardinals","Louisville","c9001f","000000","https://a.espncdn.com/i/teamlogos/ncaa/500/97.png",72
330960097,2013,3,2013-04-06,2013-04-06 18:09:00,97,"s:40~l:41~t:97","louisville-cardinals","Louisville","Cardinals","LOU","Louisville Cardinals","Louisville","c9001f","000000","https://a.espncdn.com/i/teamlogos/ncaa/500/97.png","home",72,TRUE,10,3,22,44.9,22,49,0,23,65.5,19,29,"5",11,8,0,0,36,9,25,34,0,9,9,2724,"s:40~l:41~t:2724","wichita-state-shockers","Wichita State","Shockers","WICH","Wichita State Shockers","Wichita St","0d0a03","ffc41e","https://a.espncdn.com/i/teamlogos/ncaa/500/2724.png",68
330900097,2013,3,2013-03-31,2013-03-31 17:05:00,150,"s:40~l:41~t:150","duke-blue-devils","Duke","Blue Devils","DUKE","Duke Blue Devils","Duke","013088","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png","away",63,FALSE,11,2,20,36.5,19,52,0,23,75,21,28,"3",11,4,1,0,25,4,16,36,0,12,12,97,"s:40~l:41~t:97","louisville-cardinals","Louisville","Cardinals","LOU","Louisville Cardinals","Louisville","c9001f","000000","https://a.espncdn.com/i/teamlogos/ncaa/500/97.png",85
330900097,2013,3,2013-03-31,2013-03-31 17:05:00,97,"s:40~l:41~t:97","louisville-cardinals","Louisville","Cardinals","LOU","Louisville Cardinals","Louisville","c9001f","000000","https://a.espncdn.com/i/teamlogos/ncaa/500/97.png","home",85,TRUE,8,9,26,52.7,29,55,0,23,69.4,25,36,"22",11,10,0,0,15.4,2,13,39,0,8,8,150,"s:40~l:41~t:150","duke-blue-devils","Duke","Blue Devils","DUKE","Duke Blue Devils","Duke","013088","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png",63
330900057,2013,3,2013-03-31,2013-03-31 14:20:00,130,"s:40~l:41~t:130","michigan-wolverines","Michigan","Wolverines","MICH","Michigan Wolverines","Michigan","00274c","ffcb05","https://a.espncdn.com/i/teamlogos/ncaa/500/130.png","away",79,TRUE,18,5,26,46.2,30,65,0,13,69.2,9,13,"25",9,13,2,0,52.6,10,19,36,0,11,11,57,"s:40~l:41~t:57","florida-gators","Florida","Gators","FLA","Florida Gators","Florida","0021a5","fa4616","https://a.espncdn.com/i/teamlogos/ncaa/500/57.png",59
330900057,2013,3,2013-03-31,2013-03-31 14:20:00,57,"s:40~l:41~t:57","florida-gators","Florida","Gators","FLA","Florida Gators","Florida","0021a5","fa4616","https://a.espncdn.com/i/teamlogos/ncaa/500/57.png","home",59,FALSE,13,3,27,41.1,23,56,0,11,64.7,11,17,"0",9,7,0,0,20,2,10,38,0,15,15,130,"s:40~l:41~t:130","michigan-wolverines","Michigan","Wolverines","MICH","Michigan Wolverines","Michigan","00274c","ffcb05","https://a.espncdn.com/i/teamlogos/ncaa/500/130.png",79
