"teams","season","elo"
"UConn",2024,1896.69774943959
"Stetson",2024,1629.80465259995
"Iowa State",2024,1848.76975172203
"South Dakota State",2024,1683.478896034
"Illinois",2024,1797.55414982615
"Morehead State",2024,1718.9315265634
"Auburn",2024,1819.36084642619
"Yale",2024,1711.09161693351
"San Diego State",2024,1715.18225084134
"UAB",2024,1715.57420318434
"BYU",2024,1700.73971078982
"Duquesne",2024,1758.48490375188
"Washington State",2024,1703.82893314576
"Drake",2024,1807.01522137551
"Florida Atlantic",2024,1716.67819187915
"Northwestern",2024,1632.46825834875
"North Carolina",2024,1797.76139266664
"Wagner",2024,1509.97719979062
"Arizona",2024,1719.16216043864
"Long Beach State",2024,1610.1591101005
"Baylor",2024,1717.20009771578
"Colgate",2024,1683.0467597262
"Alabama",2024,1690.16194219464
"Charleston",2024,1789.98804263524
"Saint Mary's",2024,1818.54458161268
"Grand Canyon",2024,1775.48139280959
"Clemson",2024,1630.18632745974
"New Mexico",2024,1751.29479464077
"Dayton",2024,1721.44050016028
"Nevada",2024,1783.32981502613
"Mississippi State",2024,1649.8948210061
"Michigan State",2024,1630.65410858932
"Houston",2024,1876.8957067815
"Longwood",2024,1612.23464509313
"Marquette",2024,1745.38064417537
"Western Kentucky",2024,1609.81377223604
"Kentucky",2024,1739.89507108354
"Oakland",2024,1699.31951729177
"Duke",2024,1713.82924611365
"Vermont",2024,1783.34611689751
"Wisconsin",2024,1664.29978810268
"James Madison",2024,1797.08484980127
"Texas Tech",2024,1720.49575333919
"NC State",2024,1692.73647268066
"Florida",2024,1724.23124793767
"Boise State",2024,1708.10443107484
"Nebraska",2024,1692.60074523824
"Texas A&M",2024,1656.12131878614
"Purdue",2024,1830.95976797623
"Grambling",2024,1610.03141014824
"Tennessee",2024,1761.24618554768
"Saint Peter's",2024,1606.9482122714
"Creighton",2024,1723.79041694946
"Akron",2024,1634.93995975738
"Kansas",2024,1661.35674206885
"Samford",2024,1785.87001472631
"Gonzaga",2024,1776.53534891737
"McNeese",2024,1808.50926551415
"South Carolina",2024,1757.89721249979
"Oregon",2024,1698.63098852269
"Texas",2024,1653.34899437842
"Colorado State",2024,1688.56002379202
"Utah State",2024,1769.81275842911
"TCU",2024,1637.62555905321
"Alabama",2023,1854.52531737654
"Texas A&M-Corpus Christi",2023,1673.61524250313
"Arizona",2023,1799.27139098098
"Princeton",2023,1699.39730322001
"Baylor",2023,1690.73068831058
"UC Santa Barbara",2023,1737.39691597726
"Virginia",2023,1741.66912180882
"Furman",2023,1756.36530960219
"San Diego State",2023,1841.09025643312
"Charleston",2023,1815.90798623268
"Creighton",2023,1670.69229517503
"NC State",2023,1660.03583511067
"Missouri",2023,1716.23509396304
"Utah State",2023,1770.51281771622
"Maryland",2023,1618.42475108124
"West Virginia",2023,1667.20138279767
"Purdue",2023,1797.28220729886
"Fairleigh Dickinson",2023,1499.73990432383
"Marquette",2023,1844.78797011957
"Vermont",2023,1736.13948516876
"Kansas State",2023,1682.32683556545
"Montana State",2023,1731.3377392892
"Tennessee",2023,1663.81305092827
"Louisiana",2023,1749.4732980149
"Duke",2023,1818.3421048197
"Oral Roberts",2023,1834.93792231768
"Kentucky",2023,1692.8236937778
"Providence",2023,1600.27746264861
"Michigan State",2023,1633.16648163527
"USC",2023,1671.29690060602
"Memphis",2023,1794.13775519321
"Florida Atlantic",2023,1858.7964699686
"Houston",2023,1855.69893807452
"Northern Kentucky",2023,1664.76112656472
"Texas",2023,1802.13665196321
"Colgate",2023,1737.37208003356
"Xavier",2023,1721.60549207682
"Kennesaw State",2023,1771.25354074714
"Indiana",2023,1694.61439597632
"Kent State",2023,1786.55514079983
"Miami",2023,1745.32493047499
"Drake",2023,1797.9796280322
"Iowa State",2023,1625.23097587081
"Pittsburgh",2023,1648.70954702578
"Texas A&M",2023,1797.81243331646
"Penn State",2023,1685.8262537513
"Iowa",2023,1609.65111939418
"Auburn",2023,1616.4117139813
"Kansas",2023,1809.90010149694
"Howard",2023,1656.37464875087
"UCLA",2023,1831.75662083337
"UNC Asheville",2023,1751.05701419565
"Gonzaga",2023,1857.6274001504
"Grand Canyon",2023,1718.69251763184
"UConn",2023,1735.50300597545
"Iona",2023,1757.70506990845
"Saint Mary's",2023,1766.10041076813
"VCU",2023,1809.80308502962
"TCU",2023,1655.57861658718
"Arizona State",2023,1628.66751901105
"Northwestern",2023,1634.26835783753
"Boise State",2023,1720.7490074736
"Arkansas",2023,1630.69510992369
"Illinois",2023,1609.05520310359
"Gonzaga",2022,1855.41130880519
"Georgia State",2022,1698.16548130378
"Duke",2022,1779.06128346973
"Cal State Fullerton",2022,1662.84420779974
"Texas Tech",2022,1746.35992755156
"Montana State",2022,1756.74734385618
"Arkansas",2022,1775.6148644158
"Vermont",2022,1775.08591341052
"UConn",2022,1729.71479983542
"New Mexico State",2022,1775.57318484774
"Alabama",2022,1611.09124216183
"Notre Dame",2022,1672.88728764606
"Michigan State",2022,1664.24076442625
"Davidson",2022,1744.85125760259
"Boise State",2022,1828.21283995822
"Memphis",2022,1745.49082479854
"Baylor",2022,1789.1223332328
"Norfolk State",2022,1673.48945562021
"Kentucky",2022,1791.83067185757
"Saint Peter's",2022,1665.27781722547
"Purdue",2022,1763.78948199877
"Yale",2022,1640.79926542288
"UCLA",2022,1764.06557017039
"Akron",2022,1712.4099541069
"Saint Mary's",2022,1781.38153743702
"Indiana",2022,1623.45247476979
"Texas",2022,1663.51597027392
"Virginia Tech",2022,1752.58771932935
"Murray State",2022,1856.27440616055
"San Francisco",2022,1686.04054881924
"North Carolina",2022,1729.38787223861
"Marquette",2022,1620.34648183458
"Arizona",2022,1878.79997302425
"Wright State",2022,1643.58091082238
"Villanova",2022,1847.82390278425
"Delaware",2022,1644.53603322398
"Tennessee",2022,1864.37138752841
"Longwood",2022,1759.16245510875
"Illinois",2022,1724.18116651434
"Chattanooga",2022,1760.1420716249
"Houston",2022,1819.18914235804
"UAB",2022,1779.43486638186
"Colorado State",2022,1787.54110630677
"Michigan",2022,1635.08244016535
"Ohio State",2022,1596.30520670062
"Loyola Chicago",2022,1744.46341297451
"Seton Hall",2022,1679.36734863965
"TCU",2022,1644.85334163639
"Kansas",2022,1838.85909564853
"Texas Southern",2022,1585.83653945955
"Auburn",2022,1768.65818704759
"Jacksonville State",2022,1638.63254745774
"Wisconsin",2022,1741.2002919175
"Colgate",2022,1705.55236501861
"Providence",2022,1769.35151161014
"South Dakota State",2022,1829.22448069862
"Iowa",2022,1785.82205140232
"Richmond",2022,1722.86639256324
"LSU",2022,1635.49194690521
"Iowa State",2022,1601.87974058961
"USC",2022,1717.44745683894
"Miami",2022,1678.80897435558
"San Diego State",2022,1760.73825815636
"Creighton",2022,1714.64291016827
"Michigan",2021,1740.94901790575
"Mount St. Mary's",2021,1560.74535852785
"LSU",2021,1678.67648939349
"St. Bonaventure",2021,1707.68985384035
"Colorado",2021,1711.13832018876
"Georgetown",2021,1638.61704323122
"Florida State",2021,1643.85575681418
"UNC Greensboro",2021,1718.66889998224
"BYU",2021,1726.51085653741
"Michigan State",2021,1604.80547090907
"Texas",2021,1711.27961529112
"Abilene Christian",2021,1728.9995676149
"UConn",2021,1635.09708288014
"Maryland",2021,1591.68203719962
"Alabama",2021,1789.95838719232
"Iona",2021,1624.57027383252
"Gonzaga",2021,1878.46470301177
"Norfolk State",2021,1623.91247533849
"Oklahoma",2021,1570.59137799166
"Missouri",2021,1602.78733398794
"Creighton",2021,1660.54711068667
"UC Santa Barbara",2021,1755.35471118552
"Virginia",2021,1687.72891584643
"Ohio",2021,1686.32887098325
"USC",2021,1696.42212884664
"Drake",2021,1719.86846827173
"Kansas",2021,1706.761460805
"Eastern Washington",2021,1679.88986029825
"Oregon",2021,1717.05032742034
"VCU",2021,1676.6104106525
"Iowa",2021,1706.89197442171
"Grand Canyon",2021,1650.70912041084
"Baylor",2021,1789.97401317071
"Hartford",2021,1608.20716659238
"North Carolina",2021,1644.6186220656
"Wisconsin",2021,1559.5573812919
"Villanova",2021,1619.4767719686
"Winthrop",2021,1765.07999303278
"Purdue",2021,1654.01477369904
"North Texas",2021,1683.79126370362
"Texas Tech",2021,1607.9034724053
"Utah State",2021,1720.09713534408
"Arkansas",2021,1743.72747068397
"Colgate",2021,1720.94581492605
"Florida",2021,1579.64422854377
"Virginia Tech",2021,1609.07154110372
"Ohio State",2021,1695.63762084597
"Oral Roberts",2021,1604.96858014554
"Illinois",2021,1808.11087866407
"Drexel",2021,1605.91669572587
"Loyola Chicago",2021,1793.95473529624
"Georgia Tech",2021,1708.04992247605
"Tennessee",2021,1618.97639665267
"Oregon State",2021,1670.75307743543
"Oklahoma State",2021,1727.14824148075
"Liberty",2021,1743.37930845796
"San Diego State",2021,1826.59423236424
"Syracuse",2021,1630.72438617602
"West Virginia",2021,1638.03681146095
"Morehead State",2021,1773.89872061614
"Clemson",2021,1621.6050926072
"Rutgers",2021,1569.09722902343
"Houston",2021,1807.55453598908
"Cleveland State",2021,1654.30692733318
"Duke",2019,1879.17487121904
"North Dakota State",2019,1589.15068164528
"VCU",2019,1744.13055452785
"UCF",2019,1743.36144623995
"Mississippi State",2019,1699.14023523489
"Liberty",2019,1762.13682917442
"Virginia Tech",2019,1723.95648616682
"Saint Louis",2019,1679.64394363856
"Maryland",2019,1670.65936749182
"Belmont",2019,1748.98195569858
"LSU",2019,1804.37093981018
"Yale",2019,1702.54709339843
"Louisville",2019,1640.4835570122
"Minnesota",2019,1639.20967109249
